t,cpu_avg_pct,gpu_pct,ram_used_mb,vdd_in_mw,vdd_cpu_mw,vdd_gpu_mw,vdd_soc_mw,gpu_temp_c,cpu_temp_c
06-19-2026 02:44:51,20.8,10,4484,5843,,1109,1684,55.75,55.312
06-19-2026 02:44:52,26.2,41,4481,6090,,1273,1684,55.656,55.343
06-19-2026 02:44:53,20.5,0,4481,5802,,1068,1646,55.687,55.687
06-19-2026 02:44:54,21.0,0,4482,5802,,1068,1687,55.687,55.25
06-19-2026 02:44:56,19.8,37,4482,5802,,1068,1646,55.281,55.718
06-19-2026 02:44:57,20.2,15,4481,5802,,1068,1646,55.343,55.468
06-19-2026 02:44:58,19.2,0,4481,5802,,1068,1687,55.625,55.312
06-19-2026 02:44:59,20.2,0,4716,5761,,1150,1604,55.593,55.531
06-19-2026 02:45:00,18.7,0,4731,5678,,1232,1563,55.281,55.312
06-19-2026 02:45:01,18.8,0,4904,5720,,1273,1563,55.343,55.25
06-19-2026 02:45:02,21.0,26,4937,5967,,1396,1602,55.5,55.375
06-19-2026 02:45:03,25.7,50,4938,6779,,1805,1725,55.968,55.812
06-19-2026 02:45:04,25.0,62,4938,6532,,1640,1725,55.75,55.812
06-19-2026 02:45:05,21.5,50,4939,6368,,1476,1725,55.718,55.718
06-19-2026 02:45:06,21.3,1,4939,6255,,1394,1684,55.687,55.843
06-19-2026 02:45:07,22.3,42,4939,6368,,1476,1684,56.0,56.281
06-19-2026 02:45:08,22.2,44,4939,6049,,1273,1684,56.218,55.843
06-19-2026 02:45:09,22.8,47,4939,6131,,1314,1684,56.125,55.875
06-19-2026 02:45:10,20.3,0,4939,5967,,1232,1684,56.062,55.718
06-19-2026 02:45:11,21.2,58,4939,6131,,1314,1684,55.843,56.25
06-19-2026 02:45:12,20.2,35,4939,6090,,1273,1684,55.875,55.937
06-19-2026 02:45:13,22.0,0,4940,6337,,1476,1684,55.875,55.937
06-19-2026 02:45:14,21.8,42,4940,6368,,1476,1725,56.218,56.281
06-19-2026 02:45:15,21.7,63,4940,6368,,1517,1725,56.218,56.093
06-19-2026 02:45:16,22.5,0,4940,6368,,1476,1725,56.343,56.281
06-19-2026 02:45:17,21.8,0,4940,6255,,1394,1684,55.937,56.281
06-19-2026 02:45:18,20.5,47,4940,6090,,1273,1684,56.187,56.375
06-19-2026 02:45:19,20.8,27,4940,6255,,1394,1684,56.25,56.156
06-19-2026 02:45:20,21.2,10,4943,6337,,1435,1684,56.156,56.187
06-19-2026 02:45:21,20.7,57,4943,6255,,1394,1684,56.218,56.093
06-19-2026 02:45:22,21.0,30,4943,6327,,1476,1725,56.25,56.156
06-19-2026 02:45:23,21.5,3,4943,6409,,1476,1725,56.312,56.125
06-19-2026 02:45:24,20.0,54,4943,6450,,1558,1725,56.656,56.5
06-19-2026 02:45:25,20.0,63,4943,6368,,1476,1725,56.593,56.281
06-19-2026 02:45:26,20.0,18,4944,6296,,1435,1684,56.625,56.25
06-19-2026 02:45:27,20.5,41,4943,6368,,1517,1725,56.343,56.312
06-19-2026 02:45:28,21.8,55,4943,6213,,1355,1684,56.562,56.906
06-19-2026 02:45:29,20.5,29,4944,6255,,1394,1684,56.593,56.5
06-19-2026 02:45:30,20.2,0,4944,6213,,1394,1684,56.562,56.343
06-19-2026 02:45:31,21.8,42,4944,6296,,1435,1684,56.406,56.437
06-19-2026 02:45:32,21.0,0,4944,6090,,1273,1684,56.281,56.343
06-19-2026 02:45:33,21.0,1,4944,6286,,1435,1684,56.375,56.781
06-19-2026 02:45:34,21.7,41,4944,6327,,1435,1725,56.437,56.656
06-19-2026 02:45:35,21.2,61,4944,6450,,1558,1725,56.593,56.781
06-19-2026 02:45:36,20.0,19,4944,6409,,1517,1725,56.562,56.625
06-19-2026 02:45:37,19.8,50,4944,6296,,1435,1684,56.593,56.562
